cycle,time_s,position_mm,raw_value
4,0.0042,1.1812,10415
4,0.009,1.6313,10343
4,0.0141,2.0541,10276
4,0.019,2.2973,10240
4,0.0241,2.3986,10225
4,0.029,2.5743,10199
4,0.0339,3.0208,10133
4,0.0389,3.2569,10099
4,0.0437,3.5833,10052
4,0.0479,3.9375,10001
4,0.0527,4.2771,9946
4,0.0576,4.5301,9904
4,0.0616,4.8494,9851
4,0.0667,5.1813,9793
4,0.0714,5.4341,9747
4,0.0756,5.7308,9693
4,0.0805,6.0114,9643
4,0.0855,6.7045,9582
4,0.0903,7.0968,9547
4,0.0952,7.4624,9513
4,0.0991,7.8817,9474
4,0.1034,8.2115,9404
4,0.1084,8.638,9285
4,0.1132,9.0743,9169
4,0.1183,10.152,8944
4,0.1229,10.74,8797
4,0.1268,11.1636,8687
4,0.131,11.5636,8577
4,0.1359,12.1964,8424
4,0.1408,12.9226,8302
4,0.1458,13.4878,8209
4,0.1496,13.9878,8127
4,0.1539,14.488,8044
4,0.1588,14.9277,7971
4,0.1637,15.1529,7933
4,0.1686,15.4941,7875
4,0.1736,15.7471,7832
4,0.1775,16.0724,7778
4,0.1814,16.4211,7725
4,0.1856,16.7895,7669
4,0.1906,17.1789,7603
4,0.1953,17.4895,7544
4,0.1992,17.6947,7505
4,0.2035,17.9158,7463
4,0.2084,18.1778,7415
4,0.2133,18.4444,7367
4,0.2182,18.7111,7319
4,0.2231,18.9611,7274
4,0.227,19.1111,7242
4,0.231,19.3467,7189
4,0.2361,19.4978,7155
4,0.241,19.4978,7155
4,0.2449,19.5556,7142
4,0.2491,19.6533,7120
4,0.254,19.7156,7106
4,0.259,19.7778,7092
4,0.2637,19.8267,7081
4,0.268,19.8133,7084
4,0.2729,19.8222,7082
4,0.2777,19.7022,7109
4,0.2826,19.5822,7136
4,0.2865,19.48,7159
4,0.2904,19.3556,7187
4,0.2947,19.2178,7218
4,0.2996,19.0533,7255
4,0.3045,18.9333,7279
4,0.3094,18.75,7312
4,0.3133,18.6333,7333
4,0.3175,18.4778,7361
4,0.3224,18.2722,7398
4,0.3273,18.1333,7423
4,0.3323,17.9263,7461
4,0.3372,17.8053,7484
4,0.3411,17.7316,7498
4,0.3453,17.5053,7541
4,0.3502,17.3474,7571
4,0.3552,17.1526,7608
4,0.3601,17.0053,7636
4,0.365,16.8421,7661
4,0.3689,16.6974,7683
4,0.3731,16.5461,7706
4,0.3781,16.3618,7734
4,0.383,16.2171,7756
4,0.3879,16.0724,7778
4,0.393,15.8765,7810
4,0.398,15.7176,7837
4,0.4029,15.5765,7861
4,0.4077,15.4294,7886
4,0.4119,15.3294,7903
4,0.4168,15.1294,7937
4,0.4217,14.994,7960
4,0.4266,14.8133,7990
4,0.4315,14.7108,8007
4,0.4354,14.5783,8029
4,0.4397,14.4337,8053
4,0.4446,14.2771,8079
4,0.4494,14.1325,8103
4,0.4536,14.006,8124
4,0.4585,13.8232,8154
4,0.4634,13.6463,8183
4,0.4683,13.5,8207
4,0.4732,13.3415,8233
4,0.4771,13.2134,8254
4,0.4813,13.0549,8280
4,0.4862,12.8869,8308
4,0.4911,12.7321,8334
4,0.496,12.6012,8356
4,0.5009,12.4405,8383
4,0.5048,12.3155,8404
4,0.5091,12.0595,8447
4,0.514,11.8873,8488
4,0.5189,11.7455,8527
4,0.5238,11.6255,8560
4,0.5277,11.5091,8592
4,0.5319,11.3636,8632
4,0.5368,11.2182,8672
4,0.5417,11.0691,8713
4,0.5467,10.956,8743
4,0.5506,10.816,8778
4,0.5548,10.664,8816
4,0.5597,10.488,8860
4,0.5646,10.3,8907
4,0.5696,10.176,8938
4,0.5734,10.04,8972
4,0.5774,9.901,9002
4,0.5816,9.6733,9048
4,0.5867,9.4802,9087
4,0.5914,9.2871,9126
4,0.5957,9.0891,9166
4,0.6004,8.9534,9197
4,0.6043,8.8351,9230
4,0.6082,8.7133,9264
4,0.6124,8.5556,9308
4,0.6174,8.4194,9346
4,0.6223,8.2688,9388
4,0.6272,8.172,9415
4,0.6311,8.0466,9450
4,0.6353,8.0036,9462
4,0.6402,7.7957,9482
4,0.6451,7.5914,9501
4,0.6501,7.4301,9516
4,0.655,7.2581,9532
4,0.6601,7.0538,9551
4,0.665,6.7841,9575
4,0.6699,6.6705,9585
4,0.6749,6.4545,9604
4,0.6799,6.2955,9618
4,0.6848,6.125,9633
4,0.6897,5.9835,9647
4,0.6936,5.9011,9662
4,0.6978,5.7527,9689
4,0.7027,5.5934,9718
4,0.7076,5.4451,9745
4,0.7126,5.2802,9775
4,0.7174,5.1868,9792
4,0.7213,5.011,9824
4,0.7256,4.8373,9853
4,0.7306,4.6807,9879
4,0.7354,4.5241,9905
4,0.7403,4.3434,9935
4,0.7452,4.2289,9954
4,0.7491,4.0904,9977
4,0.7534,3.8958,10007
4,0.7583,3.7222,10032
4,0.7632,3.5278,10060
4,0.7681,3.3611,10084
4,0.772,3.2569,10099
4,0.7762,3.0278,10132
4,0.7812,2.8649,10156
4,0.7861,2.6892,10182
4,0.791,2.5068,10209
4,0.796,2.3243,10236
4,0.8011,2.1757,10258
4,0.806,2.027,10280
4,0.8108,1.85,10308
4,0.8159,1.7125,10330
4,0.8208,1.5375,10358
4,0.8257,1.4187,10377
4,0.8297,1.3125,10394
4,0.8348,1.1938,10413
4,0.8396,1.0938,10429
4,0.8438,0.9708,10449
4,0.8487,0.8421,10471
4,0.8537,0.731,10490
4,0.8584,0.6374,10506
4,0.8627,0.5088,10528
4,0.8676,0.4327,10541
4,0.8725,0.3158,10561
4,0.8774,0.2339,10575
5,-0.0318,0.5731,10517
5,-0.0269,0.655,10503
5,-0.0219,0.7778,10482
5,-0.017,0.8363,10472
5,-0.0121,0.924,10457
5,-0.0082,0.9766,10448
5,-0.0042,1.0688,10433
5,0.0,1.1812,10415
5,0.0053,1.3375,10390
5,0.01,1.6375,10342
5,0.0148,1.8438,10309
5,0.0187,1.975,10288
5,0.0229,2.3446,10233
5,0.0278,2.6216,10192
5,0.0327,2.9324,10146
5,0.0377,3.2639,10098
5,0.0424,3.5972,10050
5,0.0466,3.9375,10001
5,0.0516,4.259,9949
5,0.0565,4.6084,9891
5,0.0614,4.9157,9840
5,0.0665,5.2473,9781
5,0.0714,5.5549,9725
5,0.0763,5.8736,9667
5,0.0812,6.0909,9636
5,0.0851,6.6477,9587
5,0.089,7.0108,9555
5,0.0933,7.3978,9519
5,0.098,7.8495,9477
5,0.1019,8.147,9422
5,0.1061,8.5341,9314
5,0.111,8.9247,9205
5,0.1159,9.8317,9016
5,0.1208,10.652,8819
5,0.1258,11.16,8688
5,0.1307,11.5782,8573
5,0.1346,12.006,8456
5,0.1385,12.625,8352
5,0.1427,13.2561,8247
5,0.1476,13.872,8146
5,0.1525,14.494,8043
5,0.1575,14.8855,7978
5,0.1624,15.1235,7938
5,0.1663,15.3294,7903
5,0.1705,15.7235,7836
5,0.1754,16.0724,7778
5,0.1803,16.4803,7716
5,0.1852,16.9013,7652
5,0.1902,17.1842,7602
5,0.194,17.5105,7540
5,0.1983,17.7579,7493
5,0.2032,18.0,7447
5,0.2081,18.2722,7398
5,0.2131,18.5444,7349
5,0.218,18.8167,7300
5,0.2229,19.0178,7263
5,0.2268,19.1822,7226
5,0.231,19.4089,7175
5,0.236,19.5467,7144
5,0.2409,19.5778,7137
5,0.2458,19.6489,7121
5,0.2506,19.7378,7101
5,0.2557,19.8178,7083
5,0.2606,19.8978,7065
5,0.2656,19.8933,7066
5,0.2706,19.8844,7068
5,0.2756,19.8178,7083
5,0.2804,19.7111,7107
5,0.2846,19.56,7141
5,0.2894,19.4267,7171
5,0.2945,19.2667,7207
5,0.2993,19.1467,7234
5,0.3042,19.0622,7253
5,0.3082,18.9222,7281
5,0.312,18.7444,7313
5,0.3163,18.5889,7341
5,0.3212,18.4278,7370
5,0.3261,18.2444,7403
5,0.331,18.0556,7437
5,0.3349,17.9316,7460
5,0.3392,17.7842,7488
5,0.3441,17.6053,7522
5,0.349,17.4526,7551
5,0.3539,17.3158,7577
5,0.3588,17.1105,7616
5,0.3627,17.0053,7636
5,0.3669,16.8289,7663
5,0.3718,16.6447,7691
5,0.3767,16.4868,7715
5,0.3817,16.3355,7738
5,0.3856,16.2303,7754
5,0.3898,16.0526,7781
5,0.3947,15.9118,7804
5,0.3997,15.7176,7837
5,0.4046,15.6118,7855
5,0.4097,15.4294,7886
5,0.4145,15.2941,7909
5,0.4184,15.1765,7929
5,0.4226,15.0294,7954
5,0.4275,14.8976,7976
5,0.4324,14.7229,8005
5,0.4374,14.5783,8029
5,0.4425,14.4217,8055
5,0.4474,14.2349,8086
5,0.4522,14.1325,8103
5,0.4564,13.9817,8128
5,0.4613,13.8293,8153
5,0.4661,13.7073,8173
5,0.47,13.5366,8201
5,0.4743,13.3963,8224
5,0.4792,13.2073,8255
5,0.4841,13.0305,8284
5,0.489,12.8571,8313
5,0.4939,12.744,8332
5,0.4978,12.5774,8360
5,0.5029,12.4048,8389
5,0.5078,12.2798,8410
5,0.5117,12.0714,8445
5,0.5159,11.9273,8477
5,0.5208,11.7673,8521
5,0.5257,11.6327,8558
5,0.5307,11.48,8600
5,0.5356,11.3382,8639
5,0.5395,11.2509,8663
5,0.5437,11.0945,8706
5,0.5486,10.96,8742
5,0.5535,10.804,8781
5,0.5584,10.628,8825
5,0.5634,10.492,8859
5,0.5672,10.352,8894
5,0.5715,10.164,8941
5,0.5764,10.0,8982
5,0.5813,9.7822,9026
5,0.5862,9.6089,9061
5,0.5901,9.4604,9091
5,0.5943,9.2426,9135
5,0.5993,9.0495,9174
5,0.6043,8.8853,9216
5,0.609,8.7742,9247
5,0.6133,8.6129,9292
5,0.6181,8.4946,9325
5,0.6219,8.4014,9351
5,0.6263,8.2509,9393
5,0.631,8.0968,9436
5,0.6359,8.0143,9459
5,0.6398,7.914,9471
5,0.644,7.7419,9487
5,0.649,7.5484,9505
5,0.6539,7.3656,9522
5,0.6588,7.1828,9539
